median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
52833.0,0.564716720405343,0.226480836236934,0.823244552058111,0.100517570144375,High,Regular School,MI,2016-2017,49112,21.0
62411.0,0.537196554424432,0.677894736842105,0.313253012048193,0.0955816050495942,High,Regular School,NY,2016-2017,11413,16.2454212454212
63938.0,0.781818181818182,0.561430793157076,0.523809523809524,0.0964332892998679,High,Regular School,PA,2016-2017,15222,18.3455433455433
25625.0,0.361014420686226,0.625239005736138,0.317357512953368,0.168470906630582,High,Regular School,NY,2016-2017,11103,18.6630036630037
46350.0,0.602668962548429,0.358377160030053,0.641443538998836,0.0897369778236204,High,Regular School,KY,2016-2017,42025,20.0
55000.0,0.495751538236156,0.313681868743048,0.680025856496445,0.0609602021478206,High,Regular School,PA,2016-2017,19551,20.6898656898657
61292.0,0.651108518086348,0.565217391304348,0.714285714285714,0.124297314178638,High,Regular School,TN,2016-2017,37379,16.1
36805.0,0.323879412931376,0.511590296495957,0.785340314136126,0.0757505773672055,High,Regular School,TX,2016-2017,77306,20.0549450549451
35774.0,0.594377510040161,0.362840967575914,0.680597014925373,0.135777998017839,High,Regular School,IN,2016-2017,47804,21.3394383394383
39094.0,0.39672131147541,0.492982456140351,0.667151162790698,0.103324348607367,High,Regular School,NC,2016-2017,27332,20.3235653235653
64975.0,0.461292044847838,0.495176848874598,0.881314168377823,0.0902303754266212,High,Regular School,GA,2016-2017,30184,20.2747252747253
36341.0,0.443779108449767,0.426356589147287,0.570796460176991,0.111970534069982,High,Regular School,OH,2016-2017,43764,19.0
68457.0,0.525190839694657,0.175889328063241,0.707910750507099,0.0749789385004212,High,Regular School,WY,2016-2017,82717,19.4
47310.0,0.607843137254902,0.889007470651014,0.542972699696663,0.0748876684972541,High,Regular School,MI,2016-2017,48602,15.8
73391.0,0.911873840445269,0.15474060822898,0.601307189542484,0.0631901840490798,High,Regular School,NC,2016-2017,27613,23.6691086691087
71014.0,0.63046141282156,0.469255663430421,0.844155844155844,0.0784030784030784,High,Regular School,OH,2016-2017,45344,22.0
50250.0,0.571977787270397,0.447904191616766,0.464962121212121,0.040520984081042,High,Regular School,FL,2016-2017,32333,15.1221001221001
58163.0,0.505335628227194,0.365217391304348,0.81367144432194,0.0830782684739834,High,Regular School,PA,2016-2017,18436,21.8131868131868
45671.0,0.544503834534046,0.330724070450098,0.594173441734417,0.111500477859191,High,Regular School,NC,2016-2017,27530,19.1514041514042
21316.0,0.262113251605371,0.708933717579251,0.141098484848485,0.135964912280702,High,Regular School,LA,2016-2017,71220,17.6
25074.0,0.43808925204274,0.51697699890471,0.563327032136106,0.196096654275093,High,Regular School,IN,2016-2017,47305,20.5457875457875
49659.0,0.502316960148285,0.0758928571428571,0.843210802700675,0.0642750373692078,High,Regular School,OH,2016-2017,45363,24.0
33981.0,0.519632840387557,0.345268542199488,0.40293453724605,0.0923168552709946,High,Regular School,TX,2016-2017,77656,19.2490842490842
88401.0,0.771108850457782,0.213132999443517,0.856953642384106,0.0633561643835616,High,Regular School,MI,2016-2017,48390,21.1
42798.0,0.321135991261606,0.306024096385542,0.577433628318584,0.141025641025641,High,Regular School,OH,2016-2017,45106,22.0
50278.0,0.595815343739621,0.0282131661442006,0.357837837837838,0.0592292089249493,High,Regular School,TX,2016-2017,78148,22.032967032967
79655.0,0.593403108150967,0.555555555555556,0.770012706480305,0.0550683970536654,High,Regular School,WA,2016-2017,98108,18.5164835164835
78398.0,0.71569703622393,0.920673076923077,0.912280701754386,0.0760598503740648,High,Regular School,TX,2016-2017,78041,19.2246642246642
41963.0,0.47538697531725,0.469817315329627,0.645274212368728,0.122019404703174,High,Regular School,FL,2016-2017,34953,19.3223443223443
27568.0,0.349100860046912,0.530920060331825,0.647802528597231,0.0556577736890524,High,Regular School,TX,2016-2017,75935,19.1025641025641
22123.0,0.56282722513089,0.831412103746398,0.298701298701299,0.143258426966292,High,Regular School,LA,2016-2017,70122,16.3
62679.0,0.644722814498934,0.382693197593707,0.594488188976378,0.0963888134672821,High,Regular School,WI,2016-2017,53144,20.4
71696.0,0.755858440937351,0.325853658536585,0.739354234908751,0.0992753623188406,High,Regular School,GA,2016-2017,30024,21.9352869352869
41739.0,0.568300809138505,0.858328393598103,0.7008681925809,0.0381818181818182,High,Regular School,TX,2016-2017,78589,22.1550671550672
42788.0,0.527724665391969,0.363265306122449,0.530120481927711,0.0949656750572082,High,Regular School,MI,2016-2017,49635,20.4
113883.0,0.874623871614845,0.153449084936649,0.906178489702517,0.0968572900566718,High,Regular School,IL,2016-2017,60031,22.5
16534.0,0.619512195121951,0.102040816326531,0.0,0.305152979066023,High,Regular School,MI,2016-2017,48197,23.1
69466.0,0.78942987931752,0.23433227358764264,0.831663326653307,0.0405940594059406,High,Regular School,IL,2016-2017,61571,21.4
56118.0,0.802717900656045,0.685,0.817097415506958,0.0648936170212766,High,Regular School,OH,2016-2017,44143,18.0
104632.0,0.925848563968668,0.0446559297218155,0.814241486068111,0.0515723270440252,High,Regular School,GA,2016-2017,30062,25.7936507936508
36853.0,0.477350219191427,0.458333333333333,0.435754189944134,0.185185185185185,High,Regular School,FL,2016-2017,33711,17.5152625152625
67369.0,0.844934917940011,0.994555353901996,0.958791208791209,0.100479424690372,High,Regular School,NY,2016-2017,10019,15.7081807081807
17708.0,0.259358288770053,0.84051724137931,0.230252100840336,0.16894018887723,High,Regular School,NY,2016-2017,10472,14.3894993894994
54821.0,0.574957410562181,0.34392523364486,0.794642857142857,0.0859495625321667,High,Regular School,IN,2016-2017,47834,20.7118437118437
37403.0,0.550220750551876,0.249146757679181,0.434676434676435,0.0773026315789474,High,Regular School,OH,2016-2017,45373,23.0
37929.0,0.399789029535865,0.57037037037037,0.867741935483871,0.161270616982285,High,Regular School,MO,2016-2017,65078,20.2
50479.0,0.612903225806452,0.63855421686747,0.540126239855726,0.0559701492537313,High,Regular School,NC,2016-2017,28360,22.4969474969475
41014.0,0.501639344262295,0.4,0.57031857031857,0.0580290145072536,High,Regular School,MO,2016-2017,64755,20.1
28537.0,0.338166752977732,0.397534668721109,0.560606060606061,0.178099433606042,High,Regular School,OH,2016-2017,45502,22.0
42309.0,0.564304461942257,0.878636363636364,0.705803869246164,0.0816383393702981,High,Regular School,TX,2016-2017,78540,20.6898656898657
94688.0,0.6721044045677,0.178285714285714,0.891402714932127,0.0495495495495495,High,Regular School,MI,2016-2017,48178,21.8
39750.0,0.583369612538093,0.282442748091603,0.752317880794702,0.0451948051948052,High,Regular School,WI,2016-2017,54469,21.9
141875.0,0.832120329936924,0.1854893908282,0.980059820538385,0.0702702702702703,High,Regular School,NJ,2016-2017,7747,22.2771672771673
87337.0,0.601591187270502,0.170675830469645,0.837096774193548,0.0994962216624685,High,Regular School,NJ,2016-2017,8106,21.6422466422466
41688.0,0.361516034985423,0.421875,0.732777777777778,0.0921942224953903,High,Regular School,MO,2016-2017,65633,18.7
37396.0,0.767950693374422,0.316508313539192,0.530526315789474,0.092372288313506,High,Regular School,WA,2016-2017,98403,22.4725274725275
50396.0,0.573514431239389,0.296551724137931,0.564897959183673,0.12326656394453,High,Regular School,TX,2016-2017,75453,20.1770451770452
45308.0,0.797001620745543,0.253798033958892,0.536098310291859,0.0510168907273354,High,Regular School,WA,2016-2017,98225,23.6202686202686
25799.0,0.534382767191384,0.996710526315789,0.318936877076412,0.253164556962025,High,Regular School,GA,2016-2017,31701,17.7350427350427
41224.0,0.4875,0.45755237045204,0.723174030658251,0.0666003976143141,High,Regular School,TN,2016-2017,37618,18.8
141591.0,0.864928909952607,0.0333333333333333,0.919032597266036,0.0394557823129252,High,Regular School,FL,2016-2017,32081,23.8644688644689
44718.0,0.532792279008555,0.608243297318928,0.57204673301601,0.155232849273911,High,Regular School,FL,2016-2017,34744,19.8840048840049
42744.0,0.546496815286624,0.24952380952381,0.466101694915254,0.141261498028909,High,Regular School,IN,2016-2017,47330,22.2429792429792
66200.0,0.672193436960276,0.218110236220472,0.798894557823129,0.0292214568983511,High,Regular School,IL,2016-2017,60140,21.3
43324.0,0.713690062543433,0.283940397350993,0.465671641791045,0.0934065934065934,High,Regular School,FL,2016-2017,33060,22.7167277167277
41790.0,0.569317824583464,0.384471468662301,0.836262719703978,0.08014440433213,High,Regular School,TN,2016-2017,37716,20.0
23952.0,0.393210749646393,0.707762557077626,0.262820512820513,0.179794520547945,High,Regular School,PA,2016-2017,17403,17.4175824175824
61599.0,0.582853025936599,0.395833333333333,0.773722627737226,0.0168067226890756,High,Regular School,IN,2016-2017,47512,22.2527472527473
69035.0,0.971350078492936,0.494313874147081,0.941822173435785,0.0416345412490362,High,Regular School,PA,2016-2017,15217,21.8131868131868
48561.0,0.602842183994016,0.174898051653829,0.665311653116531,0.104792851340374,High,Regular School,TX,2016-2017,78154,22.1550671550672
57829.0,0.528547439126784,0.23159509202454,0.697169811320755,0.0544982698961938,High,Regular School,PA,2016-2017,17340,22.2283272283272
29613.0,0.298224127372933,0.537128712871287,0.702791461412151,0.140661029976941,High,Regular School,TN,2016-2017,37745,18.6
39142.0,0.508502024291498,0.531446540880503,0.601813685078318,0.143133462282398,High,Regular School,IL,2016-2017,62951,18.7
94917.0,0.843894899536321,0.0182887001959504,0.823933975240715,0.0436397400185701,High,Regular School,NJ,2016-2017,7041,27.8205128205128
48194.0,0.410047522063815,0.274131274131274,0.6272040302267,0.0533033033033033,High,Regular School,OH,2016-2017,43060,22.0
73036.0,0.649963689179375,0.130571249215317,0.691114245416079,0.0642804967129291,High,Regular School,NJ,2016-2017,8085,22.008547008547
47026.0,0.626820908311911,0.361038961038961,0.752008032128514,0.0631424375917768,High,Regular School,WI,2016-2017,54801,22.1
57843.0,0.43516808274843,0.509615384615385,0.671174978867287,0.0858873841767641,High,Regular School,NJ,2016-2017,7801,20.7631257631258
35299.0,0.494905956112853,0.5357035422327291,0.538893344025662,0.159223300970874,High,Regular School,MO,2016-2017,63645,21.2
37650.0,0.495305164319249,0.402298850574713,0.662037037037037,0.0234419668381933,High,Regular School,TX,2016-2017,76437,19.7374847374847
41250.0,0.457186544342508,0.260869565217391,0.805687203791469,0.124804992199688,High,Regular School,PA,2016-2017,15342,19.004884004884
84836.0,0.731206569804169,0.126637554585153,0.93143596377749,0.0351109638953296,High,Regular School,OH,2016-2017,43074,23.0
37881.0,0.626216545012166,0.407504363001745,0.787370103916866,0.0534776902887139,High,Regular School,TX,2016-2017,78654,20.982905982906
72462.0,0.633296337402886,0.48400180261379,0.740871236386931,0.027906976744186,High,Regular School,TX,2016-2017,78640,19.4444444444444
60647.0,0.606324972737186,0.121076233183857,0.795838751625488,0.084,High,Regular School,IL,2016-2017,60520,23.1
96610.0,0.909814323607427,0.697628458498024,0.896907216494845,0.0,High,Regular School,TX,2016-2017,77007,18.1013431013431
47022.0,0.505396825396825,0.414583333333333,0.697841726618705,0.140934844192635,High,Regular School,MI,2016-2017,49616,20.7
59336.0,0.661966987620358,0.346895074946467,0.846447669977082,0.042020202020202,High,Regular School,OH,2016-2017,43028,22.0
62994.0,0.608050847457627,0.0724043715846995,0.870392390011891,0.0398126463700234,High,Regular School,PA,2016-2017,18066,23.4981684981685
